Tickers,Stock Price,Market Capitalization,Number of Stocks to Buy
PPL,29.95,22415213581,66
PRGO,51.51,7067408505,38
PRU,81.65,32372275657,24
PSA,230.5,39800756412,8
PSX,69.7,31487862282,28
PVH,91.69,6511781642,21
PWR,72.99,9848222090,27
PXD,115.33,18922341643,17
PYPL,219.13,264313830842,9
QCOM,165.42,178609242228,11
QRVO,166.69,19794108403,11
RCL,85.87,18896351163,23
RE,242.13,9780221526,8
REG,51.47,8450254424,38
REGN,502.04,53697623344,3
RF,16.31,15700455225,121
RHI,66.88,7857831021,29
RJF,99.59,13384392156,19
RL,99.84,4755305208,19
RMD,214.25,31214415550,9
ROK,255.36,28937430481,7
ROL,56.92,18209306457,34
ROP,423.51,45375923961,4
ROST,118.28,42535742085,16
RSG,97.78,31424733363,20
RTX,74.68,112281755725,26
SBAC,288.3,32668496693,6
SBUX,107.01,124884674323,18
SCHW,52.12,93245728548,37
SEE,47.29,7253754557,41
SHW,735.98,64755278386,2
SIVB,360.25,19098808708,5
SJM,122.9,13882745582,16
SLB,23.52,33035282394,84
SLG,65.3,4665890927,30
SNA,187.95,10114869476,10
SNPS,242.43,36864510585,8
SO,63.9,66711005900,30
SPG,95.81,31331217193,20
SPGI,342.2,84483343695,5
SRE,133.88,38516414191,14
STE,200.51,16760526667,9
STT,79.57,27914838966,24
STX,65.85,17116139825,30
STZ,216.33,42435347555,9
SWK,189.33,30331858741,10
SWKS,150.63,24968760873,13
SYF,33.11,19388725276,59
SYK,242.01,92267558999,8
SYY,80.5,41171524761,24
T,30.84,217544128294,64
TAP,48.98,10084319155,40
TDG,620.64,33786966031,3
TDY,401.97,15197771576,4
TEL,122.54,40630516760,16
TFC,50.46,67092015581,39
TFX,393.62,18499614057,5
TGT,175.13,91851919741,11
TIF,132.38,16102335326,14
TJX,67.72,81358619617,29
TMO,489.08,188771754181,4
TMUS,136.5,166691467162,14
TPR,29.68,8418923186,66
TROW,154.48,35342006375,12
TRV,136.96,35176444370,14
TSCO,135.19,15851660123,14
TSN,73.4,21174210710,26
TT,148.63,35142374094,13
TTWO,184.87,20939793647,10
TWTR,49.89,38349876808,39
TXN,173.92,154176482877,11
TXT,48.8,11427729692,40
TYL,424.04,17648772722,4
UA,15.02,6718841253,131
UAA,16.9,6845786439,117
UAL,50.53,15079147858,39
UDR,41.8,12206318620,47
UHS,141.56,10828316551,13
ULTA,284.41,16236341853,6
UNH,355.93,341212281875,5
UNM,24.48,4963123002,80
UNP,211.97,139230565833,9
UPS,174.6,121125530720,11
URI,252.77,18253792476,7
USB,46.27,69283911182,42
V,222.35,368437844097,8
VAR,174.68,15996956035,11
VFC,91.88,35654174930,21
VIAC,38.57,23468535826,51
VLO,63.63,25146303769,31
VMC,152.95,20022708547,12
VNO,42.76,8078818557,46
VRSK,197.11,32686730705,10
VRSN,205.62,24308290987,9
VRTX,229.2,60930574575,8
VTR,50.92,19347379265,38
VZ,62.57,262931177181,31
WAB,79.22,14588817233,24
WAT,243.24,15350208719,8
WBA,44.14,39396848704,44
WDC,53.93,16387404296,36
WEC,95.38,30876525488,20
WELL,65.1,27177304965,30
WFC,30.16,127060902929,65
WHR,191.46,12087013866,10
WLTW,222.48,28391184244,8
WM,118.71,50638906324,16
WMB,22.55,28231714043,87
WMT,150.11,438537383793,13
WRB,67.64,12214673227,29
WRK,44.49,12115996069,44
WST,283.59,21046258557,6
WU,22.6,9252854373,87
WY,31.26,23179173405,63
WYNN,116.3,12647901352,17
XEL,67.61,35281814106,29
XLNX,150.26,37740962945,13
XOM,41.82,176938400521,47
XRAY,54.24,12306398379,36
XRX,24.14,4826929375,82
XYL,103.24,17830892514,19
YUM,111.13,32005818867,17
ZBH,156.01,31199766180,12
ZBRA,379.88,21120842383,5
ZION,44.283,7570452657,44
ZTS,158.45,75582646632,12
